true_archetype,jd_match,project_quality,github_score,cgpa
Research-Deep,73.32,73.38,45.3,8.79
Research-Deep,66.74,73.18,48.21,8.88
Research-Deep,71.65,70.4,38.82,9.25
Research-Deep,54.05,64.22,25.18,8.3
Research-Deep,63.25,76.5,37.15,9.06
Research-Deep,75.62,79.97,39.31,9.41
Research-Deep,68.64,66.98,34.06,8.56
Research-Deep,61.78,69.85,48.04,9.52
Research-Deep,58.32,74.36,29.59,9.14
Research-Deep,67.08,61.01,49.28,8.82
Research-Deep,64.26,65.58,33.46,9.13
Research-Deep,66.68,73.97,43.62,9.4
Research-Deep,65.6,63.14,50.67,8.9
Research-Deep,75.8,74.3,38.69,9.1
Research-Deep,81.66,84.46,40.69,9.05
Research-Deep,75.53,66.93,43.33,8.99
Research-Deep,70.2,67.0,24.1,8.38
Research-Deep,60.18,69.25,37.07,9.58
Research-Deep,75.74,66.23,43.48,8.88
Research-Deep,66.01,73.11,46.19,8.9
Research-Deep,75.45,65.15,40.06,9.78
Research-Deep,69.56,80.6,40.92,9.17
Research-Deep,67.6,70.98,32.21,9.13
Research-Deep,62.04,75.99,50.85,9.11
Research-Deep,66.0,74.72,36.91,9.28
Research-Deep,55.18,69.99,20.09,8.55
Research-Deep,77.55,77.37,32.81,8.55
Research-Deep,47.25,68.74,64.2,9.13
Research-Deep,64.08,74.79,24.39,8.91
Research-Deep,68.7,71.48,47.91,9.1
Research-Deep,72.68,67.87,48.98,9.49
Research-Deep,61.21,66.67,53.36,8.94
Research-Deep,77.83,69.34,54.55,9.04
Research-Deep,69.81,81.39,36.38,8.72
Research-Deep,64.86,74.71,24.34,9.19
Research-Deep,64.23,78.89,16.06,8.76
Research-Deep,56.19,67.04,42.48,8.95
Research-Deep,66.23,71.04,42.03,8.7
Research-Deep,72.95,75.98,43.85,9.17
Research-Deep,70.07,84.21,39.13,8.91
Research-Deep,62.73,65.81,27.56,8.73
Research-Deep,67.51,74.01,40.51,8.77
Research-Deep,74.3,76.44,38.4,8.8
Research-Deep,71.84,73.13,25.52,8.98
Research-Deep,69.83,66.6,41.9,8.56
Research-Deep,77.35,79.49,37.47,9.11
Research-Deep,51.13,65.06,37.06,8.68
Research-Deep,73.0,83.98,28.23,8.75
Research-Deep,69.65,81.67,27.78,9.07
Research-Deep,80.75,62.09,27.19,8.87
Research-Deep,64.36,76.88,42.42,8.47
Research-Deep,71.61,68.53,52.74,8.81
Research-Deep,63.54,75.25,47.63,9.13
Research-Deep,56.2,75.23,29.66,9.07
Research-Deep,58.03,74.68,31.93,8.62
Research-Deep,73.0,73.45,33.86,9.44
Research-Deep,64.92,72.19,42.69,8.81
Research-Deep,71.3,68.8,35.88,9.41
Research-Deep,60.72,57.52,56.11,9.76
Research-Deep,65.16,60.38,36.9,8.91
Research-Deep,66.67,65.32,45.8,9.16
Research-Deep,57.54,76.2,60.53,9.05
Research-Deep,65.64,71.15,46.15,8.48
Research-Deep,69.15,69.66,58.48,8.95
Research-Deep,79.68,65.38,45.87,9.1
Research-Deep,61.92,73.06,52.13,8.9
Research-Deep,56.16,71.89,30.98,8.9
Research-Deep,67.43,61.77,23.84,9.14
Research-Deep,64.34,56.61,47.85,9.08
Research-Deep,63.0,64.1,48.36,9.1
Research-Deep,84.68,74.52,43.88,8.95
Research-Deep,73.72,75.75,52.52,8.84
Research-Deep,64.95,69.13,47.91,9.45
Research-Deep,64.79,69.45,43.14,8.93
Research-Deep,74.66,58.49,31.73,8.77
Research-Deep,51.76,66.22,30.85,8.94
Research-Deep,75.79,70.53,29.69,8.98
Research-Deep,75.34,66.14,30.89,9.17
Research-Deep,66.45,75.88,39.86,9.21
Research-Deep,60.75,71.93,37.89,8.64
Research-Deep,57.06,76.11,36.49,8.69
Research-Deep,67.33,78.77,17.19,8.55
Research-Deep,61.54,80.77,42.83,9.23
Research-Deep,60.02,65.28,44.48,9.02
Research-Deep,71.84,70.87,42.78,9.05
Research-Deep,73.44,76.84,23.8,8.33
Research-Deep,75.01,79.13,29.79,8.44
Research-Deep,68.69,77.59,57.98,9.15
Research-Deep,65.4,66.64,40.11,8.91
Research-Deep,60.89,84.29,57.85,9.34
Research-Deep,61.55,77.13,46.4,9.13
Research-Deep,76.75,75.81,47.4,9.19
Research-Deep,70.39,61.3,40.84,8.83
Research-Deep,59.04,82.09,57.29,9.41
Research-Deep,69.79,80.1,40.12,9.06
Research-Deep,60.35,74.38,40.6,8.61
Research-Deep,67.64,71.52,57.98,9.27
Research-Deep,68.08,73.49,40.44,8.94
Research-Deep,60.42,71.09,32.54,8.62
Research-Deep,71.58,74.35,22.13,8.96
Research-Deep,74.97,78.36,50.26,9.01
Builder,48.24,70.41,91.72,6.99
Builder,65.3,85.7,89.34,6.18
Builder,52.45,79.52,88.99,6.51
Builder,57.02,74.47,86.86,6.96
Builder,51.78,79.71,91.37,6.23
Builder,51.15,88.06,84.19,5.74
Builder,40.11,78.2,90.15,6.74
Builder,64.71,59.29,91.98,7.58
Builder,45.98,75.34,86.24,6.35
Builder,52.39,87.99,99.19,6.63
Builder,70.24,78.25,98.77,6.75
Builder,56.05,80.56,100.0,7.23
Builder,49.34,84.78,88.19,6.56
Builder,62.27,78.22,91.39,6.81
Builder,57.69,80.97,80.32,7.13
Builder,47.14,67.9,89.71,6.84
Builder,49.45,83.82,83.29,6.6
Builder,50.32,77.67,91.39,6.3
Builder,60.79,78.44,80.54,5.82
Builder,54.9,76.45,89.48,6.79
Builder,56.8,84.63,84.44,6.21
Builder,46.25,80.02,96.22,6.58
Builder,34.99,66.07,85.83,6.52
Builder,51.73,78.27,88.44,7.32
Builder,49.59,71.96,92.39,6.03
Builder,58.12,78.72,89.26,7.59
Builder,50.02,92.42,88.87,6.16
Builder,55.56,70.47,86.24,7.0
Builder,59.44,73.64,94.94,7.38
Builder,66.49,81.71,96.82,5.86
Builder,52.46,71.93,90.6,6.51
Builder,53.67,91.18,89.15,7.01
Builder,53.14,78.53,90.03,7.02
Builder,64.32,89.53,91.55,7.09
Builder,45.79,77.38,94.7,7.23
Builder,56.69,84.2,92.45,7.4
Builder,57.31,75.51,91.68,5.33
Builder,58.06,52.46,81.38,7.03
Builder,58.82,69.86,86.44,7.49
Builder,51.13,93.7,89.99,7.0
Builder,67.93,78.92,84.99,6.75
Builder,54.72,68.45,88.72,6.43
Builder,62.39,78.24,88.59,6.75
Builder,56.78,82.32,85.0,6.28
Builder,63.84,75.11,82.92,7.02
Builder,58.71,67.28,91.15,7.17
Builder,58.0,82.42,82.98,6.97
Builder,52.58,74.62,94.35,7.54
Builder,69.35,87.2,89.45,6.98
Builder,61.13,78.85,90.65,7.21
Builder,54.53,72.89,87.93,7.12
Builder,55.02,80.38,93.35,6.61
Builder,61.05,80.65,83.83,7.52
Builder,50.99,66.41,84.77,6.29
Builder,55.42,76.08,88.32,7.11
Builder,57.72,80.21,92.05,7.11
Builder,38.14,75.45,79.1,6.82
Builder,54.96,85.32,95.94,6.9
Builder,51.0,81.4,87.36,6.8
Builder,62.89,74.1,94.03,7.14
Builder,47.36,84.82,93.49,6.85
Builder,48.9,71.99,87.31,7.07
Builder,47.35,81.06,83.79,6.7
Builder,55.88,95.12,83.11,7.54
Builder,56.2,80.88,90.59,7.02
Builder,53.77,88.18,87.72,7.37
Builder,49.85,77.58,84.64,7.03
Builder,66.56,77.46,89.02,6.24
Builder,53.17,66.85,85.44,6.91
Builder,65.55,97.66,87.07,7.52
Builder,56.95,76.94,92.16,6.83
Builder,55.88,75.14,83.01,6.03
Builder,60.23,76.06,87.02,6.8
Builder,61.36,79.26,86.72,7.41
Builder,67.63,81.46,94.87,7.42
Builder,64.04,82.3,92.99,7.06
Builder,46.22,82.91,83.22,6.4
Builder,65.43,83.88,97.44,6.66
Builder,45.78,76.32,90.51,6.84
Builder,64.07,75.47,91.76,6.31
Builder,58.6,78.02,86.25,6.68
Builder,53.53,76.11,98.86,6.75
Builder,53.05,63.32,85.53,6.67
Builder,49.51,87.67,89.18,7.44
Builder,55.49,78.26,89.56,6.8
Builder,68.75,61.76,79.99,6.53
Builder,55.12,82.83,92.37,6.61
Builder,63.15,85.21,90.92,7.28
Builder,57.18,74.07,93.49,6.86
Builder,55.01,88.31,77.75,6.09
Builder,45.5,75.46,88.73,6.05
Builder,47.12,71.97,100.0,7.7
Builder,51.71,75.45,84.25,5.85
Builder,54.06,71.02,89.58,6.0
Builder,48.9,79.04,91.83,7.01
Builder,44.44,83.98,86.0,7.12
Builder,54.91,68.37,88.42,6.98
Builder,59.9,77.01,97.66,7.3
Builder,52.95,83.25,99.67,7.78
Builder,45.18,71.51,97.42,6.27
Builder,44.42,74.6,92.1,6.75
Builder,49.8,73.28,86.44,6.36
Builder,73.25,80.08,94.43,6.56
Builder,53.51,73.01,76.74,6.11
Builder,40.52,62.25,84.02,7.46
Builder,54.64,87.03,92.05,7.19
Builder,47.79,81.67,93.64,6.51
Builder,59.48,81.96,87.25,6.24
Builder,45.53,78.61,91.64,6.4
Builder,55.21,81.99,93.09,7.58
Builder,65.22,70.99,98.42,6.53
Builder,63.36,78.48,87.94,5.9
Builder,53.63,67.08,94.84,7.56
Builder,48.62,80.11,86.37,6.49
Builder,61.2,77.73,98.7,6.56
Builder,62.99,78.68,93.98,6.58
Builder,54.6,77.19,85.82,7.13
Builder,60.2,82.15,97.68,7.52
Builder,52.0,80.61,86.88,6.81
Builder,50.2,89.34,91.82,6.69
Builder,64.55,62.81,79.93,7.2
Builder,55.48,79.75,83.37,6.79
Builder,71.03,83.77,90.85,6.58
Builder,51.84,63.1,91.29,7.22
Builder,42.4,73.37,84.21,6.32
Builder,55.43,63.41,93.07,7.18
Builder,52.99,60.64,85.02,7.42
Builder,32.78,75.57,84.1,7.2
Builder,49.6,80.83,92.83,7.72
Builder,53.38,80.63,82.57,7.4
Builder,48.92,74.07,89.89,6.02
Builder,56.83,84.77,91.46,6.01
Builder,54.01,83.19,80.61,6.26
Builder,62.01,79.89,92.06,7.73
Builder,58.75,82.61,100.0,6.69
Builder,48.62,80.99,92.19,6.54
Builder,46.74,94.17,91.63,6.43
Builder,62.33,77.24,88.74,7.08
Builder,44.66,80.47,99.56,7.03
Builder,51.99,74.45,87.95,6.67
Builder,51.98,84.41,81.33,7.23
Builder,51.96,80.64,84.37,7.46
Builder,64.97,84.72,82.43,7.21
Builder,58.24,66.76,89.88,6.98
Builder,59.45,79.24,91.46,7.54
Builder,64.81,57.93,88.41,6.72
Builder,40.98,78.66,96.24,6.26
Builder,57.69,71.59,86.64,7.54
Builder,50.66,81.24,80.64,7.73
Builder,59.82,76.72,92.88,6.1
Builder,64.46,75.73,88.98,6.55
Builder,50.35,82.86,91.28,7.13
Builder,54.93,81.59,87.91,7.91
Builder,42.46,86.83,96.84,6.37
Builder,72.83,84.97,94.86,6.81
Builder,53.26,76.53,91.95,7.5
Builder,56.45,71.62,94.12,7.26
Builder,60.24,83.22,88.65,6.34
Builder,48.05,66.55,91.18,6.76
Builder,51.48,57.31,83.76,7.36
Builder,49.68,80.52,83.05,7.52
Builder,53.85,80.03,100.0,7.56
Builder,52.55,73.85,88.37,7.05
Builder,54.16,75.23,97.34,6.74
Builder,73.4,78.64,98.93,6.98
Builder,62.7,72.93,85.73,7.03
Builder,62.91,78.28,83.57,6.12
Builder,43.58,65.63,90.55,7.36
Builder,54.89,62.18,89.05,6.72
Builder,71.77,67.8,88.05,7.65
Builder,58.6,81.94,90.57,6.96
Builder,61.22,72.33,94.39,6.11
Builder,57.63,79.25,86.92,6.79
Builder,50.02,70.5,88.23,6.25
Builder,57.58,69.95,93.56,6.21
Builder,50.47,73.63,96.63,6.97
Builder,53.31,81.49,79.46,6.78
Builder,70.98,78.93,90.34,7.07
Builder,62.16,64.02,81.59,6.91
Builder,49.28,87.18,88.42,5.83
Builder,44.86,58.75,88.83,6.71
Builder,51.6,85.55,95.99,6.71
Builder,37.92,82.32,92.78,6.95
Builder,62.85,69.85,100.0,6.32
Builder,60.99,66.19,85.35,7.56
Builder,52.91,83.88,91.18,6.75
Builder,65.91,76.34,81.1,6.4
Builder,59.41,80.77,82.16,6.44
Builder,50.35,75.44,83.12,6.49
Builder,49.17,83.4,94.05,6.73
Builder,51.86,78.98,85.92,6.23
Builder,47.48,73.56,84.18,6.88
Builder,60.84,66.89,90.13,6.69
Builder,57.73,77.91,82.73,6.17
Builder,55.24,85.2,78.93,6.97
Builder,64.52,76.93,92.75,6.45
Builder,54.05,66.65,78.28,7.27
Builder,47.12,74.81,83.07,6.1
Builder,53.61,72.89,91.89,7.03
Builder,57.57,79.67,97.89,6.27
Fast-Learner,47.56,57.06,50.17,6.35
Fast-Learner,45.5,58.86,41.1,7.32
Fast-Learner,46.26,44.93,38.46,7.05
Fast-Learner,47.66,48.63,26.86,7.52
Fast-Learner,71.31,33.78,38.89,6.74
Fast-Learner,52.62,48.37,44.14,7.91
Fast-Learner,49.54,57.06,6.87,8.15
Fast-Learner,51.0,56.62,20.36,6.7
Fast-Learner,49.17,47.86,38.4,7.85
Fast-Learner,33.88,55.79,35.1,7.08
Fast-Learner,36.23,52.02,6.03,7.59
Fast-Learner,36.06,48.43,33.57,7.9
Fast-Learner,46.57,42.45,28.92,7.96
Fast-Learner,52.29,44.91,32.16,6.26
Fast-Learner,51.11,33.92,44.02,7.28
Fast-Learner,67.1,39.2,33.77,8.28
Fast-Learner,57.53,42.43,37.69,7.2
Fast-Learner,50.26,42.41,33.93,6.24
Fast-Learner,49.08,51.6,32.27,6.23
Fast-Learner,55.91,50.92,26.29,7.03
Fast-Learner,35.99,39.8,28.55,7.94
Fast-Learner,42.88,53.12,28.54,7.35
Fast-Learner,46.87,54.98,28.58,6.26
Fast-Learner,36.94,43.74,20.01,7.45
Fast-Learner,44.27,67.0,14.15,7.32
Fast-Learner,38.98,44.05,36.7,5.8
Fast-Learner,49.89,63.22,29.56,7.36
Fast-Learner,56.2,46.69,28.03,5.83
Fast-Learner,53.13,47.09,22.85,7.28
Fast-Learner,43.33,43.77,42.28,6.4
Fast-Learner,56.38,36.82,27.05,8.35
Fast-Learner,57.02,48.78,23.71,6.88
Fast-Learner,48.59,48.3,33.91,7.18
Fast-Learner,46.28,36.46,28.8,7.75
Fast-Learner,37.05,46.48,25.16,7.27
Fast-Learner,44.89,59.82,41.08,6.41
Fast-Learner,53.37,41.8,28.08,7.39
Fast-Learner,44.07,55.14,25.71,6.83
Fast-Learner,42.75,43.47,48.19,7.58
Fast-Learner,61.68,66.14,22.63,7.24
Fast-Learner,38.59,41.78,27.44,6.57
Fast-Learner,39.58,46.85,20.4,7.71
Fast-Learner,40.66,70.48,29.58,7.24
Fast-Learner,37.64,61.65,48.43,7.38
Fast-Learner,37.23,49.69,21.54,8.08
Fast-Learner,54.47,48.76,5.76,6.61
Fast-Learner,53.5,57.7,48.31,6.24
Fast-Learner,50.41,56.12,15.1,7.2
Fast-Learner,50.19,45.59,12.77,7.0
Fast-Learner,45.38,46.82,28.24,6.93
Fast-Learner,47.68,51.54,31.35,6.95
Fast-Learner,48.74,32.63,40.72,7.2
Fast-Learner,48.32,55.69,11.57,6.02
Fast-Learner,50.19,47.94,37.04,6.92
Fast-Learner,53.31,55.46,40.81,7.04
Fast-Learner,31.14,54.15,49.66,7.59
Fast-Learner,40.96,53.39,45.33,8.14
Fast-Learner,40.99,46.19,43.97,7.23
Fast-Learner,39.06,51.32,41.94,7.25
Fast-Learner,49.76,45.93,52.74,6.66
Fast-Learner,43.3,48.09,45.55,6.3
Fast-Learner,37.52,31.7,35.39,6.53
Fast-Learner,44.92,53.29,27.3,7.34
Fast-Learner,45.61,53.38,40.7,6.78
Fast-Learner,46.65,56.35,39.72,6.36
Fast-Learner,53.24,39.32,51.95,7.81
Fast-Learner,50.32,49.26,32.49,7.61
Fast-Learner,45.03,49.88,45.46,6.86
Fast-Learner,43.07,38.45,22.23,6.1
Fast-Learner,53.84,62.47,52.1,6.22
Fast-Learner,53.8,59.38,29.52,7.26
Fast-Learner,31.94,50.13,22.24,7.32
Fast-Learner,35.51,52.34,47.29,6.73
Fast-Learner,38.9,30.75,31.8,6.85
Fast-Learner,35.59,51.62,29.6,6.55
Fast-Learner,43.56,56.57,42.24,7.12
Fast-Learner,52.95,38.71,35.39,7.29
Fast-Learner,44.24,51.48,25.63,7.51
Fast-Learner,52.41,24.66,49.28,5.37
Fast-Learner,43.07,56.2,31.19,6.32
Fast-Learner,39.25,56.22,11.94,7.88
Fast-Learner,47.56,38.46,28.0,6.59
Fast-Learner,54.93,53.86,14.37,6.96
Fast-Learner,41.09,58.35,18.8,8.16
Fast-Learner,47.73,38.7,26.87,6.72
Fast-Learner,37.8,48.76,20.27,5.89
Fast-Learner,44.96,33.58,25.97,6.65
Fast-Learner,41.03,64.01,35.68,7.35
Fast-Learner,33.79,42.77,37.58,6.59
Fast-Learner,55.26,38.38,31.56,6.85
Fast-Learner,49.31,42.88,31.75,7.06
Fast-Learner,42.12,51.88,37.86,7.15
Fast-Learner,44.56,54.37,32.17,7.02
Fast-Learner,48.84,61.57,18.92,7.66
Fast-Learner,32.85,49.74,53.9,7.49
Fast-Learner,49.37,43.52,35.37,7.05
Fast-Learner,41.71,45.68,37.38,6.74
Fast-Learner,41.55,37.12,39.69,7.53
Fast-Learner,49.85,55.72,36.05,7.44
Fast-Learner,50.43,47.27,28.63,8.53
Fast-Learner,44.38,42.67,40.21,7.35
Fast-Learner,36.76,56.98,33.87,6.53
Fast-Learner,57.51,53.01,19.83,8.27
Fast-Learner,53.27,47.92,54.08,7.3
Fast-Learner,47.78,42.72,41.98,7.49
Fast-Learner,48.12,41.68,36.56,7.16
Fast-Learner,37.33,36.23,41.78,5.64
Fast-Learner,49.64,44.18,50.7,6.9
Fast-Learner,53.28,44.82,36.36,7.64
Fast-Learner,44.3,55.97,23.08,7.38
Fast-Learner,55.38,53.28,58.0,6.74
Fast-Learner,36.97,40.05,42.93,7.5
Fast-Learner,48.82,39.02,44.2,6.47
Fast-Learner,57.27,70.86,39.4,7.55
Fast-Learner,44.06,33.52,27.77,6.54
Fast-Learner,36.42,61.78,38.27,7.43
Fast-Learner,45.53,46.62,46.57,7.18
Fast-Learner,52.25,46.43,30.89,6.36
Fast-Learner,32.18,45.91,35.68,6.43
Fast-Learner,47.72,48.43,9.13,6.65
Fast-Learner,51.26,51.1,21.16,7.3
Fast-Learner,56.18,54.22,33.86,6.92
Fast-Learner,42.97,51.74,37.34,7.58
Fast-Learner,49.05,54.55,36.14,7.67
Fast-Learner,54.97,41.56,13.3,8.13
Fast-Learner,50.05,34.28,26.43,7.66
Fast-Learner,45.76,43.9,51.81,6.57
Fast-Learner,41.61,49.69,39.69,7.5
Fast-Learner,55.29,49.59,40.87,7.04
Fast-Learner,48.5,48.86,37.58,7.66
Fast-Learner,52.44,48.35,25.29,7.24
Fast-Learner,47.78,49.55,61.48,6.89
Fast-Learner,51.38,56.55,36.18,8.6
Fast-Learner,44.98,50.59,25.41,6.99
Fast-Learner,49.99,54.77,38.83,7.96
Fast-Learner,47.24,45.34,67.45,7.44
Fast-Learner,42.24,42.45,23.69,7.76
Fast-Learner,45.08,49.02,34.24,7.64
Fast-Learner,41.23,39.4,37.69,7.56
Fast-Learner,50.66,41.52,43.13,6.75
Fast-Learner,43.83,40.45,50.61,7.58
Fast-Learner,52.84,57.98,68.75,6.17
Fast-Learner,42.09,43.07,24.79,6.55
Fast-Learner,45.6,38.27,39.02,7.23
Fast-Learner,51.85,52.06,42.24,6.98
Fast-Learner,64.97,49.88,12.65,6.6
Fast-Learner,34.08,48.14,33.54,6.92
Fast-Learner,64.09,52.39,43.71,6.64
Fast-Learner,40.01,48.29,37.08,6.09
Fast-Learner,46.56,48.11,32.42,6.71
Fast-Learner,43.68,46.59,36.09,7.56
Fast-Learner,56.65,45.65,29.53,7.46
Fast-Learner,52.89,44.53,44.48,7.79
Fast-Learner,58.33,62.23,24.6,7.21
Fast-Learner,48.09,47.22,27.21,6.31
Fast-Learner,48.74,41.85,36.03,6.72
Fast-Learner,39.2,49.87,36.81,7.55
Fast-Learner,65.49,50.22,40.82,6.55
Fast-Learner,37.7,60.66,23.92,6.57
Fast-Learner,47.69,47.28,24.17,7.02
Fast-Learner,57.84,41.55,18.28,7.77
Fast-Learner,51.94,43.04,16.01,6.75
Fast-Learner,47.56,57.33,22.56,7.15
Fast-Learner,53.4,28.95,47.41,6.49
Fast-Learner,50.66,49.97,48.02,7.53
Fast-Learner,28.98,41.72,36.66,7.08
Fast-Learner,51.82,54.31,42.3,7.07
Fast-Learner,33.23,44.36,40.0,6.55
Fast-Learner,53.05,55.27,36.52,5.36
Fast-Learner,37.78,63.09,28.44,6.01
Fast-Learner,57.88,48.11,48.26,7.37
Fast-Learner,51.67,50.9,43.37,8.57
Fast-Learner,55.77,35.36,40.36,7.88
Fast-Learner,57.62,44.59,48.98,7.76
Fast-Learner,68.58,42.0,28.91,7.02
Fast-Learner,44.08,40.88,1.85,6.94
Fast-Learner,50.95,44.05,58.22,7.21
Fast-Learner,58.33,50.09,44.92,7.37
Fast-Learner,58.95,48.45,40.95,7.42
Fast-Learner,45.69,51.24,61.81,7.04
Fast-Learner,51.36,58.06,48.68,7.21
Fast-Learner,28.93,52.13,8.37,8.08
Fast-Learner,49.36,56.0,24.17,6.27
Fast-Learner,50.09,47.73,29.1,7.25
Fast-Learner,70.14,54.68,47.59,7.71
Fast-Learner,59.84,46.48,10.34,7.09
Fast-Learner,54.49,40.24,32.88,6.78
Fast-Learner,60.02,54.0,42.82,7.57
Fast-Learner,47.7,49.58,20.78,5.89
Fast-Learner,49.2,50.59,49.51,8.14
Fast-Learner,60.56,40.02,30.77,7.49
Fast-Learner,68.26,59.84,48.43,6.97
Fast-Learner,40.93,54.31,21.79,7.06
Fast-Learner,47.08,60.74,30.74,5.74
Fast-Learner,52.04,42.41,35.51,7.15
Fast-Learner,45.81,54.32,16.61,6.89
Fast-Learner,53.47,43.09,15.69,7.6
Fast-Learner,56.98,47.64,11.47,7.62
Fast-Learner,34.72,50.47,24.35,6.5
Fast-Learner,44.46,46.53,27.27,7.55
All-Rounder,72.32,75.88,73.97,7.92
All-Rounder,69.8,60.12,74.04,8.06
All-Rounder,60.77,66.79,65.69,8.83
All-Rounder,64.78,61.35,79.77,8.74
All-Rounder,70.53,66.21,76.31,7.27
All-Rounder,63.83,68.32,82.85,8.03
All-Rounder,75.61,76.8,86.75,7.97
All-Rounder,74.9,80.93,61.34,8.61
All-Rounder,68.89,70.61,70.3,7.82
All-Rounder,69.1,71.66,78.97,8.15
All-Rounder,75.42,73.43,65.2,8.5
All-Rounder,79.92,85.62,69.37,8.02
All-Rounder,79.61,74.91,68.25,8.04
All-Rounder,78.25,65.03,69.13,8.24
All-Rounder,80.98,66.37,59.1,7.43
All-Rounder,67.44,62.12,70.92,7.72
All-Rounder,70.78,65.36,68.92,8.73
All-Rounder,78.97,70.1,68.77,8.03
All-Rounder,76.97,73.51,65.65,8.21
All-Rounder,62.81,71.27,77.34,8.09
All-Rounder,85.9,64.71,73.52,8.19
All-Rounder,74.4,69.31,72.75,8.54
All-Rounder,83.27,69.99,77.71,7.92
